class,other_class,cosine_similarity
train,bus,0.87060546875
train,train,0.9990234375
tvmonitor,sheep,0.67138671875
tvmonitor,pottedplant,0.6962890625
tvmonitor,sofa,0.70263671875
tvmonitor,cow,0.7080078125
tvmonitor,aeroplane,0.71923828125
tvmonitor,chair,0.72412109375
tvmonitor,bicycle,0.73681640625
tvmonitor,boat,0.74169921875
tvmonitor,diningtable,0.74267578125
tvmonitor,bottle,0.7451171875
tvmonitor,person,0.74755859375
tvmonitor,horse,0.74853515625
tvmonitor,bird,0.75341796875
tvmonitor,bus,0.75634765625
tvmonitor,motorbike,0.7587890625
tvmonitor,train,0.76025390625
tvmonitor,dog,0.76220703125
tvmonitor,cat,0.765625
tvmonitor,car,0.7939453125
tvmonitor,tvmonitor,1.0009765625
